DUNS,VENDOR NAME,CONTRACT NUMBER/OFFER NUMBER,SIN,MANUFACTURER NAME,MFGPART,VENDPART,UPC-A,PRODNAME,PRODUCT DESCRIPTION,UOI,GREEN CERTIFICATION,RECYCLED AND/OR POST CONSUMER MATERIAL CONTENT %,COMMERCIAL LIST PRICE,MOST FAVORED CUSTOMER (MFC), DISCOUNT OFFERED TO MFC (%),MFC PRICE, GSA(%) DISCOUNT (exclusive of the .75% IFF),DISCOUNT PRICE OFFERED TO GSA (excluding IFF),PRICE,QUANTITY/VOLUME DISCOUNT,COO,"CDM SIN Only: Manage ""What is on the network?""","CDM SIN Only: Manage ""Who is on the network?""","CDM SIN Only: Manage ""How is the network protected?""","CDM SIN Only: Manage ""What is happening on the network?""",Emerging Tools and Technology,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-15EE,K-1018024-15EE,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 15EE","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 15EE",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-7.5D,K-1018024-7.5D,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7.5D","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7.5D",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-7.5EE,K-1018024-7.5EE,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7.5EE","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7.5EE",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-7D,K-1018024-7D,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7D","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7D",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-7EE,K-1018024-7EE,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7EE","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 7EE",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-8.5D,K-1018024-8.5D,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8.5D","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8.5D",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-8.5EE,K-1018024-8.5EE,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8.5EE","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8.5EE",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-8D,K-1018024-8D,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8D","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8D",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-8EE,K-1018024-8EE,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8EE","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 8EE",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
052877953,"A.D.A. SUPPLIES & LEASING SERVICES, INC.",GS-07F-0133T,316210,KEEN,1018024-9.5D,K-1018024-9.5D,,"Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 9.5D","Boot, Men's Keen 6"" Concord WP, Steel Toe, Steel Grey/ Black, Size 9.5D",PR,,,$192.50 ,All Commercial Accounts,0.00%,192.50,15.00%,163.63,164.86,,US,,,,,,,
